Code          Description
11.1.1        Restaurants, cafés and the like (S)
11.1.2        Canteens (S)
11.2          Accommodation services
11.2.0        Accommodation services (S)
12            Miscellaneous goods and services
12.1          Personal care
12.1.1        Hairdressing salons and personal grooming establishments (S)
12.1.2        Electric appliances for personal care (SD)
12.1.3        Other appliances, articles and products for personal care (ND)
12.2          Prostitution
12.2.0        Prostitution (S)
12.3          Personal effects n.e.c.
12.3.1        Jewellery, clocks and watches (D)
12.3.2        Other personal effects  (SD)
12.4          Social protection
12.4.0        Social protection (S)
12.5          Insurance
12.5.1        Life insurance (S)
12.5.2        Insurance connected with the dwelling (S)
12.5.3        Insurance connected with health (S)
12.5.4        Insurance connected with transport (S)
12.5.5        Other insurance (S)
12.6          Financial services n.e.c.
12.6.1        FISIM (S)
12.6.2        Other financial services n.e.c. (S)
12.7          Other services n.e.c.
12.7.0        Other services n.e.c. (S)
13            Individual consumption expenditure of non-profit institutions serving households (NPISHs)
13.1          Housing
13.1.0        Housing (S)
13.2          Health
13.2.1        Pharmaceutical products (ND)
13.2.2        Other medical products (ND)
13.2.3        Therapeutic appliances and equipment (D)
13.2.4        Outpatient medical services (S)
13.2.5        Outpatient dental services (S)
13.2.6        Outpatient paramedical services (S)
13.2.7        Hospital services (S)
13.2.8        Other health services (S)
13.3          Recreation and culture
13.3.1        Recreational and sporting services (S)
13.3.2        Cultural services (S)
13.4          Education
13.4.1        Pre-primary and primary education (S)
13.4.2        Secondary education (S)
13.4.3        Post-secondary non-tertiary education (S)
13.4.4        Tertiary education (S)
13.4.5        Education not definable by level (S)
13.4.6        Other educational services (S)
13.5          Social protection
13.5.0        Social protection (S)
13.6          Other services
13.6.1        Religion (S)
13.6.2        Political parties, labour and professional organizations (S)
13.6.3        Environmental protection (S)
13.6.4        Services n.e.c. (S)
14            Individual consumption expenditure of general government
14.1          Housing
14.1.0        Housing (S)
14.2          Health
14.2.1        Pharmaceutical products (ND)
14.2.2        Other medical products (ND)
14.2.3        Therapeutic appliances and equipment (D)
14.2.4        Outpatient medical services (S)
14.2.5        Outpatient dental services (S)
14.2.6        Outpatient paramedical services (S)
14.2.7        Hospital services (S)
14.2.8        Public health services (S)
14.3          Recreation and culture
14.3.1        Recreational and sporting services (S)
14.3.2        Cultural services (S)
14.4          Education
14.4.1        Pre-primary and primary education (S)
14.4.2        Secondary education (S)
14.4.3        Post-secondary non-tertiary education (S)
14.4.4        Tertiary education (S)
14.4.5        Education not definable by level (S)
14.4.6        Subsidiary services to education (S)
14.5          Social protection
14.5.0        Social protection (S)
